RESIDENCE,ADDRESS,SOURCE,NOTIFICATION
FRERES GONCOURT,117 bis rue de ménilmontant 75020 paris,Crous,2025-04-25 04:00
LA METROPOLITAINE,2 Avenue de la Porte de Clichy 75017 Paris,Crous,2024-12-12 01:01
ROMY SCHNEIDER,5 rue Romy Schneider 75018 Paris,Crous,2024-12-12 12:30
POISSONNIERS,14/24 avenue de la Porte des Poissonniers - 75018 Paris,Crous,2025-04-10 09:24
Pontoise - François Rabelais,,Studefi,2025-04-23 10:43
PHILIPPE DE GIRARD 2,83 rue Philippe de Girard - 75018 PARIS,Crous,2024-12-11 16:30
JEAN SARRAILH,"39, avenue Georges Bernanos 75231 Paris Cedex 05",Crous,2025-04-04 09:35
RESIDENCE CREIL,2 Rue de Verdun 60100 CREIL,Crous,2025-04-22 09:10
FRANCIS DE CROISSET,"8, rue Francis de Croisset 75018 PARIS",Crous,2025-04-24 15:29
FRANCIS DE CROISSET,"8, rue Francis de Croisset 75018 PARIS",Crous,2024-12-12 08:04
NICOLE REINE LEPAUTE,3/11 Rue Nicole Reine Lepaute 75013 PARIS,Crous,2025-04-03 11:30
POULET,"9, rue de poulet - 75018 Paris",Crous,2025-04-22 10:36
PAJOL,"1-3, rue Pajol 75018 PARIS",Crous,2025-03-13 11:11
ORNANO,"46, 46bis, Bd Ornano 75018 PARIS",Crous,2025-03-31 14:26
ARGONNE,25/27 RUE DE L'ARGONNE PARIS 75019,Crous,2024-12-12 16:06
OURCQ,12-14 rue de l Ourcq 75019 PARIS,Crous,2025-04-27 04:05
Orsay - Pierre-Gilles de Gennes,,Studefi,2025-04-09 08:22
CHAMPIONNET 2,2 rue Championnet 75018 Paris,Crous,2025-04-10 00:13
GUYTON DE MORVEAU,10-12 RUE GUYTON DE MORVEAU 75013 PARIS,Crous,2025-04-14 10:22
Résidence Paulette Fost - Saint-Ouen,,Studefi,2024-12-13 08:03
Charles Frederick Worth,"50 Rue Rouget de Lisle,  SURESNES 92150",Arpej,2025-04-25 12:03
AVIA,"20 bis, rue du Colonel Pierre Avia 75015 PARIS",Crous,2025-04-15 16:53
BERTELOTTE,28 RUE DU COLONEL PIERRE AVIA 75015 PARIS,Crous,2025-04-07 09:19
AVIA,"20 bis, rue du Colonel Pierre Avia 75015 PARIS",Crous,2024-12-13 14:12
CASTAGNARY,71 RUE CASTAGNARY 75015 PARIS,Crous,2024-12-13 15:52
Campus,23 avenue de la Convention 93000 BOBIGNY,Crous,2025-03-23 17:07
Campus,23 avenue de la Convention 93000 BOBIGNY,Crous,2024-12-13 17:18
Montreuil,2 rue Yélimané 93100 MONTREUIL,Crous,2025-03-21 16:16
Montreuil,2 rue Yélimané 93100 MONTREUIL,Crous,2024-12-13 17:18
PRE-SAINT-GERVAIS,13/25 rue Stalingrad 93310 Le Pre-Saint-Gervais,Crous,2025-03-21 16:16
Saint Denis - Eugene Pottier,12 rue Eugene Pottier 93200 Saint-Denis,Crous,2025-03-09 19:08
Saint Denis - Hermitage,Place du 8 Mai 1945 93200 Saint-Denis,Crous,2025-03-21 16:16
Stains,38/42 rue du Chemin St Leger 93240 Stains,Crous,2025-03-21 16:16
Frida Kahlo,79 Rue Edouard Renard 93000 BOBIGNY,Crous,2025-03-21 16:16
Frida Kahlo,79 Rue Edouard Renard 93000 BOBIGNY,Crous,2024-12-13 17:18
IRD,17 Rue Lucien Chapelain 93140 BONDY,Crous,2025-03-22 20:15
IRD,17 Rue Lucien Chapelain 93140 BONDY,Crous,2024-12-13 17:18
Campus,23 avenue de la Convention 93000 BOBIGNY,Crous,2024-12-13 17:18
FOREST CAVALLOTTI,"2, rue Cavallotti 75018 - PARIS",Crous,2025-01-08 23:23
LUNEVILLE,9 rue de Lunéville 75019 Paris,Crous,2025-04-01 13:57
Guy de Maupassant,43-47 rue Gabriel Péri Bezons 95870,Arpej,2025-04-23 18:09
REUILLY,2 passage Marie Rogissart 75012 Paris,Crous,2025-03-06 09:22
FRERES FLAVIEN,23-25 RUE DES FRERES FLAVIEN 75020 PARIS,Crous,2025-04-10 12:22
MENILMONTANT,124/130 bd de ménilmontant 75020 paris,Crous,2025-03-13 10:10
COUR DES NOUES,4/6 rue de la cour des noues 75020 paris,Crous,2025-01-21 15:13
Aubervilliers - Roger Hanin,,Studefi,2025-03-30 15:34
Arcueil - Irène et François Joliot Curie,,Studefi,2025-01-22 11:42
DELPHINE SEYRIG,7 à 15 Rue Delphine Seyrig - 75019 PARIS,Crous,2025-03-31 10:43
INDOCHINE,18 boulevard Indochine 75019 Paris,Crous,2025-03-19 17:03
DOMREMY,"51/53, rue de Domremy 75013 PARIS",Crous,2025-01-24 09:48
REIMS,5 rue de Reims - 75013 Paris,Crous,2025-01-25 08:37
MAZET,"5B, rue André Mazet 75006 PARIS",Crous,2025-03-31 15:57
BERCY,244 rue de Bercy 75012 PARIS,Crous,2025-01-27 12:26
VAUGIRARD,383 rue de Vaugirard 75015 Paris,Crous,2025-03-04 14:29
AMIRAL MOUCHEZ,77/79 rue de l Amiral MOUCHEZ - 75013 PARIS,Crous,2025-03-10 10:26
SAINT-JACQUES,"26, rue du Faubourg Saint-Jacques 75014 PARIS",Crous,2025-03-06 15:32
Parc Avenue,"6, rue Kateb Yacine - 93400 Saint-Ouen",Fac-Habitat,2025-03-05 09:46
Jacques-Henri Lartigue,3 avenue Léonard de Vinci  Courbevoie 92400,Arpej,2025-04-24 13:02
Courbevoie - Modigliani,,Studefi,2025-01-24 10:28
BONAPARTE,"24, rue Bonaparte 75006 PARIS",Crous,2025-04-11 12:07
Ivry-sur-Seine - Marthe Gautier,16 avenue de l'Industrie 94200 Ivry-sur-Seine,Crous,2025-03-21 16:16
Saint Denis - Guynemer,41 rue Guynemer 93200 Saint Denis,Crous,2025-02-02 04:02
DAREAU,13 à 17 rue dareau 75014 paris,Crous,2025-04-14 10:12
AUBERVILLIERS,"60/60bis, rue d Aubervilliers 75019 PARIS",Crous,2025-01-27 12:11
PAJOL 2,63/65 ter rue Philippe de Girard - 75018 PARIS,Crous,2025-04-10 09:19
MOUZAIA,58 - 60 BIS RUE MOUZAIA PARIS 75019,Crous,2025-04-25 14:25
Cergy - Les Closbilles,,Studefi,2025-02-03 09:39
JOURDAN,146 - 158Bis RUE DE LA TOMBE ISSOIRE 75014 PARIS,Crous,2025-04-21 11:05
Neuilly-Roule,"43, avenue du Roule Neuilly-sur-Seine 92200",Arpej,2025-04-26 13:21
Le Raincy - Maurice Denis,,Studefi,2025-03-26 15:24
Paris 18e - Résidence Évariste Galois,,Studefi,2025-02-03 17:21
Chanzy,"13, rue de Chanzy Nanterre 92000",Arpej,2025-04-23 13:05
Aubervilliers - Anne Franck,,Studefi,2025-04-15 09:27
Aubervilliers - Les enfants du Paradis,,Studefi,2025-02-05 08:40
Noisiel - Clémence Royer - Le Luzard II,,Studefi,2025-04-25 14:55
LA GARENNE,"7, Place de la Garenne 75014 PARIS",Crous,2025-02-06 09:56
Aubervilliers - Jean Moulin,,Studefi,2025-04-09 09:13
Massy - Eric Tabarly,,Studefi,2025-03-25 10:55
Epinay Sur Seine,"6, Avenue de la Republique 93800 EPINAY SUR SEINE",Crous,2025-03-24 04:01
Ilot des poiriers,"1, rue Frederic Joliot Curie 93430 VILLETANEUSE",Crous,2025-03-07 17:55
Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Crous,2025-03-09 20:09
Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Crous,2025-02-07 15:07
Deuil-la-Barre - Odyssée,,Studefi,2025-04-06 18:31
Montreuil - Résidence Andrée Michel,,Studefi,2025-03-05 10:31
Baudin,"1, rue Félicie Gennevilliers 92230",Arpej,2025-04-17 16:53
Neuilly-Plaisance - Gallieni 1,,Studefi,2025-03-08 17:00
Massy - Océane,,Studefi,2025-04-25 11:22
Danielle Casanova,1 Allée d'Andrézieux  Paris 75018,Arpej,2025-02-24 12:58
ORNANO2,57 BD Ornano 75018 Paris,Crous,2025-04-07 09:09
Neuilly-Plaisance - Gallieni 2,,Studefi,2025-03-02 17:00
FONTAINE AU ROI 1,91/95 rue de la Fontaine-au-roi 75011 Paris,Crous,2025-03-03 11:51
RUE DES HAIES,72/74 rue des haies 75020 Paris,Crous,2025-02-27 15:46
JULIE DAUBIE,14-18 rue Julie Daubié 75013 PARIS,Crous,2025-02-17 10:19
CITEAUX,45 boulevard Diderot - 75012 PARIS,Crous,2025-03-27 09:42
PHILIPPE DE GIRARD,"13, rue Philippe de Girard 75010 PARIS",Crous,2025-02-18 10:44
Montigny-le-Bretonneux - Blaise Pascal,,Studefi,2025-02-19 10:41
Écrivains,"2, rue Jean Anouilh - 78420 Carrières-sur-Seine",Fac-Habitat,2025-04-08 12:18
SCIPION,13 rue Scipion  Paris 75005,Arpej,2025-02-20 16:15
Kremlin Bicêtre - George Sand,4 rue Pasteur 94270 LE KREMLIN BICETRE,Crous,2025-02-28 14:11
BESSIERES,27 boulevard Bessières 75017 PARIS,Crous,2025-02-27 11:12
FONTAINE AU ROI 2,88/90 rue de la Fontaine-au-roi 75011 PARIS,Crous,2025-03-06 12:29
TOLBIAC,210-222 RUE DE TOLBIAC 75013 PARIS,Crous,2025-03-03 07:42
LES CASCADES,52 Rue des Cascades 75020 Paris,Crous,2025-03-03 14:33
ROSA PARKS,173 bd Macdonald 75019 Paris,Crous,2025-04-22 13:54
CHEVALERET,81 bis/ter/quater rue du Chevaleret 75013 Paris,Crous,2025-04-03 10:19
ROLLIN,8 rue Rollin 75005 PARIS,Crous,2025-03-04 12:07
Résidence Le Concorde à Dugny,,Studefi,2025-03-24 08:50
MYRHA,"61, rue Myrha 75018 PARIS",Crous,2025-03-10 20:45
CHOISY,120 avenue de Choisy 75013 Paris,Crous,2025-04-13 20:46
DOCTEUR YERSIN,"6, Place du Docteur Yersin 75013 PARIS",Crous,2025-03-19 15:46
MARTIN LUTHER KING,20/26 rue Bernard Buffet - 75017 Paris,Crous,2025-04-03 14:38
La Verrière - Victoire Daubié,,Studefi,2025-03-24 17:13
DAVIEL,29/31 rue Daviel - 75013 PARIS,Crous,2025-04-01 09:43
COUBERTIN,"53, rue Lhomond 75005 PARIS",Crous,2025-04-01 11:20
HOSTATER,"24, RUE DE LA HARPE 75005 PARIS",Crous,2025-04-02 10:50
THIONVILLE,26 - 26 bis rue de Thionville - 75019 PARIS,Crous,2025-04-14 14:05
PARMENTIER,8 rue Parmentier - 92200 Neuilly-sur-Seine,Crous,2025-04-03 15:04
OBSERVATOIRE,26 AVENUE DE L'OBSERVATOIRE 75014 PARIS,Crous,2025-04-07 14:38
LAGHOUAT,"24, 28 Rue Laghouat 75018 Paris",Crous,2025-04-10 09:14
Louis Faure-Dujarric,"4-6, rue de Mantes Colombes 92700",Arpej,2025-04-24 12:36
DELAITRE,9 rue Delaitre 75020 PARIS,Crous,2025-04-14 09:16
GRANDS MOULINS,"54-56, rue des Grands Moulins 75013 Paris",Crous,2025-04-23 08:56
